intensity	day_of_week	month	day	hour	minute
0.7626168224299066	5	03	03	12	24
0.7206291864228193	5	03	03	12	39
0.6719533905162648	5	03	03	14	09
0.7096602028108877	5	03	03	14	24
0.6930770432880138	2	03	07	16	00
0.7068801897983392	2	03	07	16	30
0.7104364561991681	2	03	07	17	00
0.7172470978441128	2	03	07	17	15
0.7152537485582469	2	03	07	17	45
0.7528812385616066	2	03	07	18	00
0.7221056646957849	2	03	07	18	30
0.7290204262315816	4	03	23	17	15
0.7290218595748967	4	03	23	18	00
0.7331561669532594	4	03	23	18	15
0.7640075973409307	4	03	23	18	30
0.7589148519048377	4	03	23	18	45
0.7681958097507695	4	03	23	19	15
0.754479198299423	4	03	23	19	30
0.8174433518597691	4	03	23	20	00
0.747165013984236	4	03	23	20	30
0.7334708161479815	4	03	23	21	30
0.6676042356055593	5	03	24	09	45
0.6666120218579235	5	03	24	10	15
0.6689887764692873	5	03	24	10	30
0.6881113619262603	5	03	24	10	45
0.708440065681445	5	03	24	11	30
0.7365915218264212	5	03	24	11	45
0.7030636789467021	5	03	24	12	30
0.712681409813407	5	03	24	12	45
0.7096519433632312	5	03	24	13	00
0.7214289621970568	3	03	08	08	17
0.7633356627067319	3	03	08	08	32
0.8075899571907902	3	03	08	08	47
0.7473581689797906	3	03	08	09	02
0.7700396483364937	3	03	08	09	17
0.7621586398910017	3	03	08	09	32
0.7674861825805223	3	03	08	10	17
0.7565235364026249	3	03	08	10	32
0.7378246194117242	3	03	08	10	47
0.7431182795698925	3	03	08	11	47
0.7122191443521083	3	03	08	12	02
0.6907592824363789	3	03	08	12	17
0.7053880375679684	3	03	08	13	02
0.6894258248895817	3	03	08	13	17
0.6868404717566728	3	03	08	13	47
0.6776781500707881	3	03	08	15	32
0.6901076716016151	3	03	08	15	47
0.6960558034569421	3	03	08	16	02
0.6900057050982833	3	03	08	16	32
0.7145622580242288	3	03	08	17	47
0.7497723132969034	3	03	08	18	02
0.7342086777975901	3	03	08	18	17
0.7473770334007123	3	03	08	18	32
0.7913076058448857	3	03	08	18	47
0.7886810212966231	3	03	08	19	02
0.7359372643643493	3	03	08	19	17
0.7138408127839894	3	03	08	19	47
0.6699362704350236	5	03	24	14	00
0.6771800619062867	5	03	24	14	15
0.6793858141400252	5	03	24	14	30
0.7268270944741533	5	03	24	15	30
0.6910620733449754	5	03	24	16	00
0.7063424102300623	5	03	24	16	15
0.7251494768310912	5	03	24	16	30
0.7764201500535906	5	03	24	17	45
0.7432837447550542	5	03	24	18	45
0.762572318647085	5	03	24	19	00
0.7251214277645995	5	03	24	19	30
0.7669121424901524	5	03	24	19	45
0.7373799725651577	5	03	24	20	00
0.7265581524763495	5	03	24	20	15
0.6417242781618544	6	03	25	09	12
0.694294406158813	6	03	25	09	25
0.6850288760550867	6	03	25	09	46
0.6778371611536425	6	03	25	10	01
0.6420488385944014	6	03	25	10	31
0.6571258199165176	6	03	25	10	45
0.6423652496358099	6	03	25	11	00
0.6767380915677509	6	03	25	11	15
0.6997101449275362	6	03	25	11	45
0.6878102236833623	6	03	25	12	00
0.6848907845418121	6	03	25	12	15
0.6949760765550239	6	03	25	12	30
0.6584369895715542	6	03	25	12	45
0.6644414775255897	6	03	25	13	00
0.6405590333381861	6	03	25	13	15
0.7924466978679147	3	03	08	20	17
0.6513526492716504	6	03	25	13	45
0.6770449521002211	6	03	25	14	00
0.6368953525134367	6	03	25	14	16
0.6649655042056516	6	03	25	14	45
0.6504123057405645	6	03	25	15	00
0.6648205128205128	6	03	25	15	15
0.6971153846153846	6	03	25	15	30
0.6690196078431373	6	03	25	15	45
0.6874907035549606	6	03	25	16	00
0.6737459914079991	6	03	25	16	15
0.7366321305228057	6	03	25	16	30
0.7178497587870434	6	03	25	16	45
0.6902167545401289	6	03	25	17	00
0.6963722397476341	6	03	25	17	15
0.696969696969697	6	03	25	17	30
0.6634963095061178	6	03	25	18	01
0.6625679012345679	6	03	25	18	15
0.662453820727202	6	03	25	18	30
0.678183464091732	6	03	25	19	00
0.7118621337088447	6	03	25	19	15
0.6590909090909091	6	03	25	19	30
0.6858782435129741	6	03	25	19	45
0.6919651141213583	6	03	25	20	00
0.7143207154232513	6	03	25	20	15
0.6877074858558938	6	03	25	20	30
0.7321772639691715	6	03	25	20	45
0.7055846737755287	6	03	25	21	00
0.650359153562415	6	03	25	21	15
0.6869577584980799	6	03	25	21	45
0.7033650329188003	6	03	25	22	00
0.6816186295094484	6	03	25	22	30
0.6798444212237316	0	03	26	22	12
