intensity	day_of_week	month	day	hour	minute
0.6752450980392157	5	03	10	13	33
0.6785980611483967	5	03	10	13	41
1.0	5	03	10	18	57
0.7135416666666666	5	03	10	19	12
0.8322101261448073	0	03	19	18	32
0.7676403894891289	0	03	19	18	47
0.739856490541422	0	03	19	18	52
0.7126247367939211	0	03	19	18	57
0.9887604367373154	0	03	19	19	12
0.7526666666666667	0	03	19	19	17
0.7873267326732674	0	03	19	19	22
0.7282239434705803	0	03	19	19	27
0.761169102296451	0	03	19	19	32
0.6995381689758218	0	03	19	19	37
0.689802913453299	0	03	19	19	42
0.7312417504315158	0	03	19	19	47
0.695542380324989	0	03	19	19	52
0.8340668296658517	1	03	20	10	11
0.8786305058665128	1	03	20	10	16
0.7789834910035244	1	03	20	10	44
0.8379772961816305	1	03	20	10	49
0.998991935483871	1	03	20	10	54
0.7495449191562266	1	03	20	10	59
0.8097072419106317	1	03	20	11	04
0.9983877468762595	1	03	20	11	09
0.8004940424295263	1	03	20	11	14
0.9964305326743548	1	03	20	11	19
0.7925120062726649	1	03	20	11	24
0.7815222375057314	1	03	20	11	29
0.7668564199873498	1	03	20	11	34
0.7778762368926303	1	03	20	11	39
0.9967637540453075	1	03	20	11	44
0.9974899598393574	1	03	20	11	49
0.7479892761394102	1	03	20	11	54
0.7191265060240963	1	03	20	11	59
0.7847034025895815	1	03	20	12	04
0.7160916513036608	1	03	20	12	09
1.0	1	03	20	12	14
0.7840042094185741	1	03	20	12	19
1.0	1	03	20	12	34
0.7671957671957672	1	03	20	12	39
0.7156862745098039	1	03	20	12	44
0.7431932328839546	1	03	20	12	49
0.8361417780360255	1	03	20	12	54
0.8377108691010037	1	03	20	12	59
0.6901095852406713	1	03	20	13	04
1.0	1	03	20	13	09
0.7984051036682616	1	03	20	13	14
0.6860407352210631	1	03	20	13	19
0.7044198895027625	1	03	20	13	24
0.6765432098765433	1	03	20	13	29
0.7056404230317274	1	03	20	13	34
0.764782326185835	3	03	22	10	16
0.8326953069615767	3	03	22	10	21
0.9963885879378838	3	03	22	10	26
0.7547015535568274	3	03	22	10	31
0.7415374881366656	3	03	22	10	36
0.8451848168407095	3	03	22	10	41
0.768610715979137	3	03	22	10	46
0.7153508771929824	3	03	22	10	51
0.8443248093315389	3	03	22	10	56
0.8265510340226818	3	03	22	11	01
0.9984	3	03	22	11	56
0.8385153048927453	3	03	22	12	06
0.6552832094005324	3	03	22	12	11
0.7010861898716321	3	03	22	12	16
0.8086802480070859	3	03	22	12	26
0.6738053613053613	3	03	22	12	31
0.6929720071471114	3	03	22	12	36
0.6929711082363088	3	03	22	12	41
0.7004468275245755	3	03	22	12	46
0.7658454411455043	3	03	22	12	51
0.715372907153729	4	03	23	11	03
0.7168260976207996	4	03	23	11	23
0.6792104777716288	4	03	23	11	28
0.6693840579710145	4	03	23	11	38
0.7141094199917729	4	03	23	12	08
0.6782666666666667	6	03	25	09	57
0.6724218385440971	6	03	25	10	12
0.6767718148299877	6	03	25	10	17
0.9942528735632183	6	03	25	10	22
0.7698847834723878	6	03	25	11	12
0.798114689709348	3	03	29	10	08
0.7958477508650519	3	03	29	10	13
0.7351401293501694	3	03	29	10	23
0.7391541609822647	3	03	29	10	28
0.7831140350877193	3	03	29	10	33
0.7230185497470489	5	03	10	19	41
0.826097271648873	5	03	10	19	46
0.7502192982456141	5	03	10	19	51
1.0	5	03	10	19	56
0.7890061077179344	5	03	10	20	01
0.6755116198404439	5	03	10	20	06
0.9993279569892473	5	03	10	20	16
0.7628023876845743	0	04	02	20	43
0.746494623655914	0	04	02	20	50
0.8629015756087579	1	04	03	09	47
0.8045045045045045	1	04	03	09	51
0.7672538507361075	1	04	03	09	53
0.7551670763907857	1	04	03	09	55
0.9201545396007726	1	04	03	10	50
0.7905765503875969	1	04	03	10	53
0.7863335614875656	1	04	03	10	54
0.8026122148638705	1	04	03	11	04
0.9007529089664613	1	04	03	11	06
0.8531073446327684	1	04	03	11	12
0.6856754921928038	1	04	03	11	16
0.7570573139435415	1	04	03	11	19
0.8034439311213776	1	04	03	11	20
0.7600827300930714	1	04	03	11	22
0.8735192272644432	1	04	03	11	24
1.0	1	04	03	11	26
1.0	1	04	03	11	28
0.997020854021847	1	04	03	11	30
0.7857598978288634	1	04	03	11	32
0.7801006581494386	1	04	03	11	36
0.8011866235167207	1	04	03	11	39
0.7834215167548501	1	04	03	11	40
0.8714249557074158	1	04	03	11	42
0.7532966115840427	1	04	03	11	44
0.9995251661918328	1	04	03	11	48
0.7721234416513386	1	04	03	11	52
0.807427536231884	1	04	03	11	58
0.6945082280903176	1	04	03	12	02
0.7790014684287812	1	04	03	12	04
0.7757422615287429	1	04	03	12	06
0.7108953613807982	1	04	03	12	08
1.0	1	04	03	12	10
0.7190146266358738	1	04	03	12	12
1.0	1	04	03	12	14
0.740127036730185	1	04	03	12	16
0.7742616033755274	1	04	03	12	18
0.997610513739546	1	04	03	12	20
0.9975757575757576	1	04	03	12	22
0.8315412186379928	1	04	03	12	26
0.6973263136161867	1	04	03	12	28
0.6963267168605978	1	04	03	12	32
0.8462962962962963	1	04	03	12	33
0.7225153913808268	1	04	03	12	42
0.8489235337787676	1	04	03	12	44
0.6899988673688979	1	04	03	12	48
0.6528328755975994	1	04	03	13	02
0.6586151368760065	1	04	03	13	12
0.6855969893944578	1	04	03	13	27
0.6530591364845508	1	04	03	13	32
0.6680023745918671	1	04	03	13	36
0.6898449949297407	1	04	03	16	02
0.7606727037516171	2	04	04	15	56
0.8519701810436635	2	04	04	16	01
0.7719298245614035	2	04	04	16	06
0.79979035639413	2	04	04	16	11
0.7640107640107641	2	04	04	16	16
0.7375081539465101	2	04	04	16	21
0.7634684453565931	2	04	04	16	26
0.7589520800421274	2	04	04	16	31
1.0	2	04	04	16	36
0.7879098360655737	2	04	04	16	41
0.7649475125513464	2	04	04	16	46
0.8015373864430468	2	04	04	16	51
0.7558654271801682	2	04	04	16	56
0.8516697398074166	2	04	04	17	01
0.901740020470829	2	04	04	17	11
0.7746868978805395	2	04	04	17	16
0.8087111977896961	2	04	04	17	21
0.7253777535044602	2	04	04	17	26
0.7224338048603555	2	04	04	17	31
0.7004871650740117	2	04	04	17	41
0.7978544655551247	2	04	04	17	46
0.7155806856937713	2	04	04	17	51
0.699037856307886	2	04	04	17	56
0.7156132118870181	2	04	04	18	01
0.7112251327752273	2	04	04	18	06
0.7153558052434457	2	04	04	18	11
0.7207764042507049	2	04	04	18	16
0.6990920881971465	2	04	04	18	21
0.726775956284153	2	04	04	18	26
0.7097921225382933	2	04	04	18	31
0.7298109965635738	2	04	04	18	36
0.701329534662868	2	04	04	18	41
0.7314870559903672	2	04	04	18	46
0.725257571027162	2	04	04	18	51
0.7053617907339927	2	04	04	18	56
0.7013958682300391	2	04	04	19	01
0.7377487377487377	2	04	04	19	06
0.7398184176394293	2	04	04	19	11
0.7301219302764898	2	04	04	19	16
0.7158161826895968	2	04	04	19	21
0.7009037191518943	2	04	04	19	26
0.7279465497442322	2	04	04	19	31
0.7280436607892528	2	04	04	19	36
0.7173990710968203	3	04	05	15	03
0.7094945107974424	3	04	05	15	13
0.8779466842916942	3	04	05	15	18
0.8728852309099223	3	04	05	15	23
0.7553176890352683	3	04	05	15	28
0.7657790927021696	3	04	05	15	33
0.7630872483221477	3	04	05	15	38
0.8187229437229437	3	04	05	15	43
0.730829950383401	3	04	05	15	48
0.8634290925672594	3	04	05	15	53
0.780450200431699	3	04	05	15	58
0.7823512420566147	3	04	05	16	03
0.7325059101654846	3	04	05	16	08
0.7852852852852853	3	04	05	16	13
0.8490143369175627	3	04	05	16	18
0.8511582743792482	3	04	05	16	23
0.7926040858546677	3	04	05	16	33
0.7980392156862746	3	04	05	16	38
0.8142692085499711	3	04	05	16	43
0.9636795655125594	3	04	05	16	48
0.7661628883291351	3	04	05	16	53
0.8632190369121229	3	04	05	16	58
0.8385487528344672	3	04	05	17	03
0.8648206044365044	3	04	05	17	08
0.842911877394636	3	04	05	17	13
0.8017010369334732	3	04	05	17	18
0.8464730290456431	3	04	05	17	23
0.868724794882492	3	04	05	17	28
0.82	3	04	05	17	33
0.8508601103537813	3	04	05	17	38
0.8518319928507596	3	04	05	17	43
0.8632895559724828	3	04	05	17	53
0.82969808995687	3	04	05	17	58
0.8357565966612817	3	04	05	18	03
0.8375850340136054	3	04	05	18	08
0.8680941052075073	3	04	05	18	13
0.7855029585798816	3	04	05	18	18
0.7198581560283688	3	04	05	18	23
